Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2008-09,Punjab,Multan Divn.                                      ,Vehari,131,261,29,182,14,753,53,691,748,2.885057471,1.827586207,3.796703297,53.42857143
2008-09,Punjab,Rawalpindi Divn.                               ,Rawalpindi,15,115,0,0,0,208,0,0,0,1.808695652,0,0,0
2008-09,Punjab,Rawalpindi Divn.                               ,Attock,8,161,0,0,0.2,275,0,0,8,1.708074534,0,0,40
2008-09,Punjab,Rawalpindi Divn.                               ,Chakwal,5,129,0,0.2,0,169,0,0.5,0,1.310077519,0,2.5,0
2008-09,Punjab,Rawalpindi Divn.                               ,Jhelum,4,49,2,0.2,0.2,99,3,0.5,9,2.020408163,1.5,2.5,45
2008-09,Punjab,Sahiwal Divn.                                   ,Sahiwal,87,149,30,71,11,460,52,310,433,3.087248322,1.733333333,4.366197183,39.36363636
2008-09,Punjab,Sahiwal Divn.                                   ,Okara,122,219,120,25,19,747,273,85,887,3.410958904,2.275,3.4,46.68421053
2008-09,Punjab,Sahiwal Divn.                                   ,Pakpattan,90,151,54,46,5,516,113,212,233,3.417218543,2.092592593,4.608695652,46.6
2008-09,Punjab,Sargodha Divn.                                     ,Sargodha,62,223,51,7,62,596,83,15,2817,2.67264574,1.62745098,2.142857143,45.43548387
2008-09,Punjab,Sargodha Divn.                                     ,Bhakkar,30,169,1,8,14,384,2,27,555,2.272189349,2,3.375,39.64285714
2008-09,Punjab,Sargodha Divn.                                     ,Khushab,10,83,21,0.2,7,149,37,1,294,1.795180723,1.761904762,5,42
2008-09,Punjab,Sargodha Divn.                                     ,Mianwali,24,176,5,13,3,333,9,57,108,1.892045455,1.8,4.384615385,36
2009-10,Punjab,Bahawalpur Divn.                      ,Bahawalpur,139,305,7,282,11,861,10,969,592,2.82295082,1.428571429,3.436170213,53.81818182
2009-10,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,120,354,67,232,14,1059,140,898,704,2.991525424,2.089552239,3.870689655,50.28571429
2009-10,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,218,332,26,276,81,912,44,1143,5315,2.746987952,1.692307692,4.141304348,65.61728395
2009-10,Punjab,D.G.Khan Divn.     ,D.G. Khan,83,178,41,98,4,449,98,356,197,2.52247191,2.390243902,3.632653061,49.25
2009-10,Punjab,D.G.Khan Divn.     ,Layyah,64,202,10,49,12,515,17,127,623,2.54950495,1.7,2.591836735,51.91666667
2009-10,Punjab,D.G.Khan Divn.     ,Muzaffargarh,95,316,27,176,32,859,47,488,1671,2.71835443,1.740740741,2.772727273,52.21875
2009-10,Punjab,D.G.Khan Divn.     ,Rajanpur,80,168,13,142,13,452,26,627,974,2.69047619,2,4.415492958,74.92307692
2009-10,Punjab,Faisalabad Divn.            ,Faisalabad,130,303,33,52,96,861,54,151,4690,2.841584158,1.636363636,2.903846154,48.85416667
2009-10,Punjab,Faisalabad Divn.            ,Jhang,170,283,66,70,40,772,111,151,2016,2.727915194,1.681818182,2.157142857,50.4
2009-10,Punjab,Faisalabad Divn.            ,T.T. Singh,72,164,36,55,36,460,64,143,1826,2.804878049,1.777777778,2.6,50.72222222
2009-10,Punjab,Gujranwala Divn.     ,Gujranwala,203,234,248,0,2,754,549,0,75,3.222222222,2.213709677,0,37.5
2009-10,Punjab,Gujranwala Divn.     ,Gujrat,56,143,45,0,2,206,76,0,92,1.440559441,1.688888889,0,46
2009-10,Punjab,Gujranwala Divn.     ,Hafizabad,49,161,133,0,6,412,277,0,214,2.559006211,2.082706767,0,35.66666667
2009-10,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,54,135,88,2,28,348,161,3,1193,2.577777778,1.829545455,1.5,42.60714286
2009-10,Punjab,Gujranwala Divn.     ,Narowal,67,167,92,0,2,307,147,0,49,1.838323353,1.597826087,0,24.5
2009-10,Punjab,Gujranwala Divn.     ,Sialkot,52,209,171,0,1,454,353,0,36,2.172248804,2.064327485,0,36
2009-10,Punjab,Lahore Divn.                                        ,Lahore,72,64,34,0,0.2,164,63,0,17,2.5625,1.852941176,0,85
2009-10,Punjab,Lahore Divn.                                        ,Kasur                                                        ,91,210,90,15,36,570,169,32,1821,2.714285714,1.877777778,2.133333333,50.58333333
2009-10,Punjab,Lahore Divn.                                        ,Nankana Sahib,40,141,102,0,17,374,184,0,762,2.65248227,1.803921569,0,44.82352941
2009-10,Punjab,Lahore Divn.                                        ,Sheikhupura,90,223,206,0,3,558,370,0,142,2.502242152,1.796116505,0,47.33333333
2009-10,Punjab,Multan Divn.                                      ,Multan,236,208,14,173,3,520,21,617,112,2.5,1.5,3.566473988,37.33333333
2009-10,Punjab,Multan Divn.                                      ,Khanewal,127,242,27,188,8,729,44,604,420,3.012396694,1.62962963,3.212765957,52.5
2009-10,Punjab,Multan Divn.                                      ,Lodhran                                                    ,137,204,10,200,2,603,15,743,85,2.955882353,1.5,3.715,42.5
2009-10,Punjab,Multan Divn.                                      ,Vehari,160,273,27,208,15,788,42,874,888,2.886446886,1.555555556,4.201923077,59.2
2009-10,Punjab,Rawalpindi Divn.                               ,Rawalpindi,14,98,0,0,0,88,0,0,0,0.897959184,0,0,0
2009-10,Punjab,Rawalpindi Divn.                               ,Attock,5,146,0,0,0.2,143,0,0,7,0.979452055,0,0,35
2009-10,Punjab,Rawalpindi Divn.                               ,Chakwal,5,67,0,0,0,41,0,0,0,0.611940299,0,0,0
2009-10,Punjab,Rawalpindi Divn.                               ,Jhelum,4,45,2,0.2,0.2,65,2,0,8,1.444444444,1,0,40
2009-10,Punjab,Sahiwal Divn.                                   ,Sahiwal,104,151,30,85,8,456,54,233,321,3.01986755,1.8,2.741176471,40.125
2009-10,Punjab,Sahiwal Divn.                                   ,Okara,176,221,125,30,15,753,280,84,715,3.407239819,2.24,2.8,47.66666667
2009-10,Punjab,Sahiwal Divn.                                   ,Pakpattan,86,159,52,51,4,574,121,160,202,3.610062893,2.326923077,3.137254902,50.5
2009-10,Punjab,Sargodha Divn.                                     ,Sargodha,88,225,48,9,56,505,81,22,2602,2.244444444,1.6875,2.444444444,46.46428571
2009-10,Punjab,Sargodha Divn.                                     ,Bhakkar,23,185,2,18,13,426,4,47,602,2.302702703,2,2.611111111,46.30769231
2009-10,Punjab,Sargodha Divn.                                     ,Khushab,15,83,22,0.2,5,159,28,1,215,1.915662651,1.272727273,5,43
