Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2002-03,Punjab,Bahawalpur Divn.                      ,Bahawalpur,114,269,5,268,9,724,7,968,501,2.691449814,1.4,3.611940299,55.66666667
2002-03,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,93,282,41,178,27,695,65,544,1155,2.464539007,1.585365854,3.056179775,42.77777778
2002-03,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,168,303,13,307,43,740,19,1076,2620,2.442244224,1.461538462,3.504885993,60.93023256
2002-03,Punjab,D.G.Khan Divn.     ,D.G. Khan,48,156,27,93,3,407,53,411,142,2.608974359,1.962962963,4.419354839,47.33333333
2002-03,Punjab,D.G.Khan Divn.     ,Layyah,48,178,1,29,16,379,1,63,674,2.129213483,1,2.172413793,42.125
2002-03,Punjab,D.G.Khan Divn.     ,Muzaffargarh,87,278,20,189,25,657,32,599,1394,2.363309353,1.6,3.169312169,55.76
2002-03,Punjab,D.G.Khan Divn.     ,Rajanpur,54,135,5,148,5,336,7,651,258,2.488888889,1.4,4.398648649,51.6
2002-03,Punjab,Faisalabad Divn.            ,Faisalabad,91,254,22,32,117,716,33,67,5412,2.818897638,1.5,2.09375,46.25641026
2002-03,Punjab,Faisalabad Divn.            ,Jhang,99,354,79,45,92,916,118,113,4178,2.587570621,1.493670886,2.511111111,45.41304348
2002-03,Punjab,Faisalabad Divn.            ,T.T. Singh,49,147,22,37,46,423,43,95,2147,2.87755102,1.954545455,2.567567568,46.67391304
2002-03,Punjab,Gujranwala Divn.     ,Gujranwala,69,217,231,2,3,604,436,0,98,2.783410138,1.887445887,0,32.66666667
2002-03,Punjab,Gujranwala Divn.     ,Gujrat,22,131,34,0,4,224,53,0,135,1.709923664,1.558823529,0,33.75
2002-03,Punjab,Gujranwala Divn.     ,Hafizabad,41,134,113,0,8,367,203,0,428,2.73880597,1.796460177,0,53.5
2002-03,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,35,116,73,0,34,323,133,2,1453,2.784482759,1.821917808,0,42.73529412
2002-03,Punjab,Gujranwala Divn.     ,Narowal,27,124,74,0,5,245,95,0,132,1.975806452,1.283783784,0,26.4
2002-03,Punjab,Gujranwala Divn.     ,Sialkot,32,186,151,0,2,440,241,0,70,2.365591398,1.59602649,0,35
2002-03,Punjab,Lahore Divn.                                        ,Lahore,51,55,34,0,1,148,59,0,39,2.690909091,1.735294118,0,39
2002-03,Punjab,Lahore Divn.                                        ,Kasur                                                        ,"78
",164,51,8,63,425,86,9,2696,2.591463415,1.68627451,1.125,42.79365079
2002-03,Punjab,Lahore Divn.                                        ,Okara,93,218,104,9,32,746,199,18,1528,3.422018349,1.913461538,2,47.75
2002-03,Punjab,Lahore Divn.                                        ,Sheikhupura,78,297,247,0,23,767,417,0,909,2.582491582,1.688259109,0,39.52173913
2002-03,Punjab,Multan Divn.                                      ,Multan,117,191,8,167,3,486,12,600,186,2.544502618,1.5,3.592814371,62
2002-03,Punjab,Multan Divn.                                      ,Khanewal,92,215,18,176,10,587,28,627,491,2.730232558,1.555555556,3.5625,49.1
2002-03,Punjab,Multan Divn.                                      ,Pakpattan,68,157,46,30,14,529,96,59,589,3.369426752,2.086956522,1.966666667,42.07142857
2002-03,Punjab,Multan Divn.                                      ,Sahiwal,75,151,23,77,14,469,35,174,476,3.105960265,1.52173913,2.25974026,34
2002-03,Punjab,Multan Divn.                                      ,Vehari,102,258,18,208,19,700,31,767,1106,2.713178295,1.722222222,3.6875,58.21052632
2002-03,Punjab,Rawalpindi Divn.                               ,Rawalpindi,7,109,0,0,0,174,0,0,0,1.596330275,0,0,0
2002-03,Punjab,Rawalpindi Divn.                               ,Attock,8,128,0,0,0.2,195,0,0,8,1.5234375,0,0,40
2002-03,Punjab,Rawalpindi Divn.                               ,Chakwal,4,115,0,0,0,129,0,0,0,1.12173913,0,0,0
2002-03,Punjab,Rawalpindi Divn.                               ,Jhelum,1,44,1,0,0.2,53,2,0.5,9,1.204545455,2,0,45
2002-03,Punjab,Sargodha Divn.                                     ,Sargodha,60,190,32,7,81,507,44,7,3045,2.668421053,1.375,1,37.59259259
2002-03,Punjab,Sargodha Divn.                                     ,Bhakkar,21,131,0,3,22,319,0,6,819,2.435114504,0,2,37.22727273
2002-03,Punjab,Sargodha Divn.                                     ,Khushab,8,71,16,0,9,121,28,0.5,296,1.704225352,1.75,0,32.88888889
2002-03,Punjab,Sargodha Divn.                                     ,Mianwali,14,143,1,3,4,279,2,7,123,1.951048951,2,0,30.75
2003-04,Punjab,Bahawalpur Divn.                      ,Bahawalpur,114,268,6,279,10,633,8,995,628,2.361940299,1.333333333,3.566308244,62.8
2003-04,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,110,294,54,199,25,754,86,629,1159,2.56462585,1.592592593,3.16080402,46.36
2003-04,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,170,311,13,309,49,827,18,820,3161,2.659163987,1.384615385,2.653721683,64.51020408
2003-04,Punjab,D.G.Khan Divn.     ,D.G. Khan,53,166,28,100,3,385,66,376,144,2.319277108,2.357142857,3.76,48
2003-04,Punjab,D.G.Khan Divn.     ,Layyah,59,182,1,37,15,423,2,75,716,2.324175824,2,2.027027027,47.73333333
2003-04,Punjab,D.G.Khan Divn.     ,Muzaffargarh,90,287,20,206,28,681,33,626,1464,2.3728223,1.65,3.038834951,52.28571429
2003-04,Punjab,D.G.Khan Divn.     ,Rajanpur,63,141,8,168,8,333,12,675,440,2.361702128,1.5,4.017857143,55
2003-04,Punjab,Faisalabad Divn.            ,Faisalabad,100,265,25,36,116,789,33,73,5752,2.977358491,1.32,2.027777778,49.5862069
2003-04,Punjab,Faisalabad Divn.            ,Jhang,97,367,98,49,91,977,151,103,4281,2.662125341,1.540816327,2.102040816,47.04395604
2003-04,Punjab,Faisalabad Divn.            ,T.T. Singh,63,151,27,39,44,429,39,91,2193,2.841059603,1.444444444,2.333333333,49.84090909
2003-04,Punjab,Gujranwala Divn.     ,Gujranwala,72,223,238,0,3,647,452,0,107,2.901345291,1.899159664,0,35.66666667
2003-04,Punjab,Gujranwala Divn.     ,Gujrat,20,135,38,0,4,243,61,0,138,1.8,1.605263158,0,34.5
2003-04,Punjab,Gujranwala Divn.     ,Hafizabad,51,138,114,0,7,358,196,0,322,2.594202899,1.719298246,0,46
2003-04,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,41,121,80,2,33,302,143,3,1417,2.495867769,1.7875,1.5,42.93939394
2003-04,Punjab,Gujranwala Divn.     ,Narowal,45,131,85,0,4,300,131,0,121,2.290076336,1.541176471,0,30.25
